Name,Matlab Time(in s),Avg Matlab Time,VS Time(in s),Avg VS Time,Total Time(in s),Avg Total Time
David_Leahy_,90.3187,47.1815,4.399,4.66537,94.7177,51.8468
David_Myers_,66.7716,47.1815,4.748,4.66537,71.5196,51.8468
David_Nalbandian_,69.771,47.1815,4.406,4.66537,74.177,51.8468
David_Spade_,79.8597,47.1815,4.608,4.66537,84.4677,51.8468
David_Stern_,79.5237,47.1815,4.635,4.66537,84.1587,51.8468
David_Trimble_,104.438,47.1815,4.37,4.66537,108.808,51.8468
David_Wells_,74.4779,47.1815,4.516,4.66537,78.9939,51.8468
David_Wolf_,69.9791,47.1815,4.761,4.66537,74.7401,51.8468
Dean_Barkley_,91.0557,47.1815,4.291,4.66537,95.3467,51.8468
Debbie_Reynolds_,95.797,47.1815,4.71,4.66537,100.507,51.8468
Debra_Brown_,93.1188,47.1815,4.529,4.66537,97.6478,51.8468
Debra_Messing_,80.1605,47.1815,4.523,4.66537,84.6835,51.8468
Demetrius_Ferraciu_,78.6613,47.1815,4.669,4.66537,83.3303,51.8468
Demi_Moore_,88.7287,47.1815,4.869,4.66537,93.5977,51.8468
Denise_Johnson_,77.8799,47.1815,5.261,4.66537,83.1409,51.8468
Dennis_Erickson_,76.5475,47.1815,5.288,4.66537,81.8355,51.8468
Dennis_Hastert_,88.866,47.1815,5.498,4.66537,94.364,51.8468
Dennis_Kozlowski_,75.66,47.1815,5.307,4.66537,80.967,51.8468
Dennis_Kucinich_,74.1517,47.1815,4.659,4.66537,78.8107,51.8468
Dennis_Powell_,80.9791,47.1815,4.333,4.66537,85.3121,51.8468
Denzel_Washington_,98.8834,47.1815,4.621,4.66537,103.504,51.8468
Derek_Jeter_,90.3869,47.1815,4.739,4.66537,95.1259,51.8468
Derek_Lowe_,101.517,47.1815,4.331,4.66537,105.848,51.8468
Desiree_Lemosi_,107.464,47.1815,4.368,4.66537,111.832,51.8468
Dexter_Jackson_,101.1,47.1815,4.729,4.66537,105.829,51.8468
Diana_Krall_,100.783,47.1815,5.072,4.66537,105.855,51.8468
Diana_Munz_,100.751,47.1815,4.339,4.66537,105.09,51.8468
Diana_Taurasi_,78.5806,47.1815,4.607,4.66537,83.1876,51.8468
Diane_Green_,79.9422,47.1815,4.699,4.66537,84.6412,51.8468
Dianne_Feinstein_,72.2836,47.1815,4.4,4.66537,76.6836,51.8468
Dick_Cheney_,80.9273,47.1815,4.641,4.66537,85.5683,51.8468
Dick_Clark_,72.7015,47.1815,4.704,4.66537,77.4055,51.8468
Dick_Latessa_,75.5383,47.1815,4.355,4.66537,79.8933,51.8468
Dick_Vermeil_,70.5667,47.1815,4.604,4.66537,75.1707,51.8468
Dino_de_Laurentis_,83.7337,47.1815,4.429,4.66537,88.1627,51.8468
Dolly_Parton_,110.58,47.1815,4.655,4.66537,115.235,51.8468
Dolma_Tsering_,98.693,47.1815,4.697,4.66537,103.39,51.8468
Dominik_Garcia-Lorido_,110.037,47.1815,4.665,4.66537,114.702,51.8468
Dominique_de_Villepin_,91.8869,47.1815,4.331,4.66537,96.2179,51.8468
Don_Nickles_,85.7281,47.1815,4.419,4.66537,90.1471,51.8468
Don_Siegelman_,80.6438,47.1815,4.633,4.66537,85.2768,51.8468
Donald_Evans_,80.2497,47.1815,4.662,4.66537,84.9117,51.8468
Donald_Fehr_,79.5303,47.1815,4.426,4.66537,83.9563,51.8468
Donald_Pettit_,77.8725,47.1815,4.65,4.66537,82.5225,51.8468
Donald_Rumsfeld_,75.0767,47.1815,4.254,4.66537,79.3307,51.8468
Donatella_Versace_,76.7563,47.1815,4.602,4.66537,81.3583,51.8468
Donna_Shalala_,71.2087,47.1815,4.727,4.66537,75.9357,51.8468
Doris_Roberts_,65.8522,47.1815,4.632,4.66537,70.4842,51.8468
Doris_Schroeder_,72.9969,47.1815,4.567,4.66537,77.5639,51.8468
Dorthy_Moxley_,70.3203,47.1815,4.436,4.66537,74.7563,51.8468
Doug_Collins_,76.9495,47.1815,4.735,4.66537,81.6845,51.8468
Doug_Duncan_,66.0612,47.1815,4.349,4.66537,70.4102,51.8468
Doug_Melvin_,70.7115,47.1815,4.393,4.66537,75.1045,51.8468
Drew_Barrymore_,77.3245,47.1815,4.644,4.66537,81.9685,51.8468
Duane_Lee_Chapman_,82.2647,47.1815,4.361,4.66537,86.6257,51.8468
Dwayne_Johnson_,65.6141,47.1815,4.666,4.66537,70.2801,51.8468
Ed_Rosenthal_,67.0234,47.1815,4.34,4.66537,71.3634,51.8468
Ed_Smart_,66.3217,47.1815,4.582,4.66537,70.9037,51.8468
Eddie_Sutton_,72.5014,47.1815,4.737,4.66537,77.2384,51.8468
Eddy_Merckx_,65.0366,47.1815,4.415,4.66537,69.4516,51.8468
Edie_Falco_,66.3262,47.1815,4.711,4.66537,71.0372,51.8468
Edmund_Hillary_,73.5775,47.1815,4.609,4.66537,78.1865,51.8468
Edmund_Stoiber_,77.7881,47.1815,4.667,4.66537,82.4551,51.8468
Eduard_Shevardnadze_,66.2578,47.1815,4.97,4.66537,71.2278,51.8468
Eduardo_Duhalde_,72.5693,47.1815,4.388,4.66537,76.9573,51.8468
Edward_James_Olmos_,66.1584,47.1815,4.241,4.66537,70.3994,51.8468
Edward_Kennedy_,66.1745,47.1815,4.609,4.66537,70.7835,51.8468
Edward_Lu_,71.0116,47.1815,4.214,4.66537,75.2256,51.8468
Edward_Norton_,68.7516,47.1815,4.615,4.66537,73.3666,51.8468
Edward_Said_,70.8671,47.1815,4.173,4.66537,75.0401,51.8468
Edwin_Edwards_,64.7837,47.1815,4.306,4.66537,69.0897,51.8468
Edwina_Currie_,66.2657,47.1815,4.594,4.66537,70.8597,51.8468
Eileen_Coparropa_,70.4632,47.1815,4.199,4.66537,74.6622,51.8468
Elena_Bovina_,64.5471,47.1815,4.546,4.66537,69.0931,51.8468
Eliane_Karp_,66.4293,47.1815,4.559,4.66537,70.9883,51.8468
Elijah_Wood_,64.43,47.1815,4.269,4.66537,68.699,51.8468
Elin_Nordegren_,72.6721,47.1815,4.298,4.66537,76.9701,51.8468
Elinor_Caplan_,63.5069,47.1815,4.592,4.66537,68.0989,51.8468
Elisabeth_Schumacher_,70.6642,47.1815,4.567,4.66537,75.2312,51.8468
Elizabeth_Dole_,95.1455,47.1815,4.345,4.66537,99.4905,51.8468
Elizabeth_Hurley_,55.278,47.1815,4.673,4.66537,59.951,51.8468
Elizabeth_Shue_,65.5006,47.1815,4.664,4.66537,70.1646,51.8468
Elizabeth_Smart_,63.1754,47.1815,4.189,4.66537,67.3644,51.8468
Elizabeth_Taylor_,57.0851,47.1815,4.631,4.66537,61.7161,51.8468
Ellen_DeGeneres_,69.4523,47.1815,4.29,4.66537,73.7423,51.8468
Ellen_Engleman_,56.5161,47.1815,4.669,4.66537,61.1851,51.8468
Elsa_Zylberstein_,58.3153,47.1815,4.654,4.66537,62.9693,51.8468
Elton_John_,54.0492,47.1815,4.326,4.66537,58.3752,51.8468
Elvis_Presley_,58.0208,47.1815,4.8,4.66537,62.8208,51.8468
Emanuel_Ginobili_,54.5797,47.1815,4.588,4.66537,59.1677,51.8468
Emile_Lahoud_,68.0121,47.1815,4.701,4.66537,72.7131,51.8468
Emily_Robison_,56.1915,47.1815,4.315,4.66537,60.5065,51.8468
Emma_Thompson_,55.2823,47.1815,4.681,4.66537,59.9633,51.8468
Emma_Watson_,56.7541,47.1815,4.283,4.66537,61.0371,51.8468
Emmanuelle_Beart_,51.9264,47.1815,4.57,4.66537,56.4964,51.8468
Emmit_Smith_,53.2659,47.1815,4.556,4.66537,57.8219,51.8468
Enrique_Bolanos_,52.2997,47.1815,4.596,4.66537,56.8957,51.8468
Eric_Clapton_,56.6195,47.1815,4.293,4.66537,60.9125,51.8468
Eric_Hinske_,61.6088,47.1815,4.458,4.66537,66.0668,51.8468
Eric_Robert_Rudolph_,55.4622,47.1815,4.311,4.66537,59.7732,51.8468
Eric_Rosser_,53.926,47.1815,4.62,4.66537,58.546,51.8468
Erik_Morales_,51.9489,47.1815,4.355,4.66537,56.3039,51.8468
Erika_Christensen_,51.1254,47.1815,4.181,4.66537,55.3064,51.8468
Erika_Harold_,55.3563,47.1815,4.67,4.66537,60.0263,51.8468
Erin_Runnion_,54.2408,47.1815,4.594,4.66537,58.8348,51.8468
Ernesto_Zedillo_,51.5374,47.1815,4.457,4.66537,55.9944,51.8468
Ernie_Els_,63.1488,47.1815,4.565,4.66537,67.7138,51.8468
Ernie_Eves_,52.9434,47.1815,4.266,4.66537,57.2094,51.8468
Ernie_Fletcher_,50.4971,47.1815,4.497,4.66537,54.9941,51.8468
Ethan_Hawke_,54.7334,47.1815,4.607,4.66537,59.3404,51.8468
Eunice_Barber_,61.8953,47.1815,4.958,4.66537,66.8533,51.8468
Eva_Dimas_,56.1251,47.1815,4.404,4.66537,60.5291,51.8468
Evan_Rachel_Wood_,55.3482,47.1815,4.258,4.66537,59.6062,51.8468
Evander_Holyfield_,57.5877,47.1815,4.583,4.66537,62.1707,51.8468
Eve_Pelletier_,50.5809,47.1815,4.702,4.66537,55.2829,51.8468
Fabiola_Zuluaga_,54.0743,47.1815,4.297,4.66537,58.3713,51.8468
Fabrice_Santoro_,55.2852,47.1815,4.556,4.66537,59.8412,51.8468
Farouk_al-Sharaa_,59.2901,47.1815,4.718,4.66537,64.0081,51.8468
Faye_Dunaway_,54.8971,47.1815,4.326,4.66537,59.2231,51.8468
Fayssal_Mekdad_,56.1913,47.1815,4.255,4.66537,60.4463,51.8468
Federico_Trillo_,57.6698,47.1815,4.618,4.66537,62.2878,51.8468
Felipe_Perez_Roque_,55.6533,47.1815,4.644,4.66537,60.2973,51.8468
Felix_Mantilla_,52.023,47.1815,4.624,4.66537,56.647,51.8468
Ferenc_Madl_,55.9249,47.1815,4.651,4.66537,60.5759,51.8468
Fernando_Gonzalez_,64.8281,47.1815,4.616,4.66537,69.4441,51.8468
Fernando_Henrique_Cardoso_,60.4634,47.1815,4.358,4.66537,64.8214,51.8468
Fernando_Vargas_,51.7378,47.1815,4.404,4.66537,56.1418,51.8468
Fidel_Castro_,60.4827,47.1815,4.664,4.66537,65.1467,51.8468
Filippo_Inzaghi_,53.8752,47.1815,4.402,4.66537,58.2772,51.8468
Flavia_Delaroli_,54.7594,47.1815,4.457,4.66537,59.2164,51.8468
Flor_Montulo_,56.1642,47.1815,4.676,4.66537,60.8402,51.8468
Fran_Drescher_,56.2877,47.1815,4.166,4.66537,60.4537,51.8468
Frances_Fisher_,54.9127,47.1815,4.404,4.66537,59.3167,51.8468
Francis_Ford_Coppola_,59.6296,47.1815,4.677,4.66537,64.3066,51.8468
Francis_George_,55.354,47.1815,4.735,4.66537,60.089,51.8468
Francis_Mer_,54.2221,47.1815,4.307,4.66537,58.5291,51.8468
Francisco_Flores_,56.8158,47.1815,4.388,4.66537,61.2038,51.8468
Franco_Dragone_,58.75,47.1815,4.661,4.66537,63.411,51.8468
Frank_Cassell_,62.4449,47.1815,4.344,4.66537,66.7889,51.8468
Frank_Dunham_Jr_,55.0353,47.1815,4.376,4.66537,59.4113,51.8468
Frank_Griswold_,53.6857,47.1815,4.966,4.66537,58.6517,51.8468
Frank_Lautenberg_,54.1587,47.1815,4.3,4.66537,58.4587,51.8468
Frank_Solich_,50.0749,47.1815,4.412,4.66537,54.4869,51.8468
Frank_Stallone_,57.3116,47.1815,4.748,4.66537,62.0596,51.8468
Franko_Simatovic_,53.2737,47.1815,4.811,4.66537,58.0847,51.8468
Franz_Beckenbauer_,52.7054,47.1815,4.418,4.66537,57.1234,51.8468
Franz_Fischler_,52.5061,47.1815,4.343,4.66537,56.8491,51.8468
Franz_Muentefering_,56.8186,47.1815,4.629,4.66537,61.4476,51.8468
Fred_Eckhard_,52.3077,47.1815,4.664,4.66537,56.9717,51.8468
Fred_Funk_,51.2785,47.1815,4.435,4.66537,55.7135,51.8468
Fred_Thompson_,55.7846,47.1815,4.639,4.66537,60.4236,51.8468
Freddy_Garcia_,51.0437,47.1815,4.551,4.66537,55.5947,51.8468
Fujio_Cho_,62.206,47.1815,4.873,4.66537,67.079,51.8468
GL_Peiris_,64.2468,47.1815,5.208,4.66537,69.4548,51.8468
Gabriel_Batistuta_,55.7769,47.1815,4.748,4.66537,60.5249,51.8468
Gabriel_Valdes_,56.4334,47.1815,5.155,4.66537,61.5884,51.8468
Gao_Qiang_,54.2143,47.1815,5.588,4.66537,59.8023,51.8468
Garry_Kasparov_,52.2226,47.1815,5.553,4.66537,57.7756,51.8468
Garry_Trudeau_,49.6251,47.1815,5.57,4.66537,55.1951,51.8468
Gary_Bergeron_,57.2802,47.1815,5.372,4.66537,62.6522,51.8468
Gary_Carter_,52.665,47.1815,5.462,4.66537,58.127,51.8468
Gary_Doer_,53.1801,47.1815,5.04,4.66537,58.2201,51.8468
Gary_Forsee_,55.2925,47.1815,5.157,4.66537,60.4495,51.8468
Gary_Locke_,53.1873,47.1815,5.116,4.66537,58.3033,51.8468
Gary_Williams_,51.8681,47.1815,4.663,4.66537,56.5311,51.8468
Gary_Winnick_,52.1761,47.1815,4.792,4.66537,56.9681,51.8468
Gene_Robinson_,66.5977,47.1815,5.107,4.66537,71.7047,51.8468
Geno_Auriemma_,54.4676,47.1815,5.033,4.66537,59.5006,51.8468
Geoff_Hoon_,58.282,47.1815,4.75,4.66537,63.032,51.8468
George_Brumley_,56.6992,47.1815,4.5,4.66537,61.1992,51.8468
George_Clooney_,62.1203,47.1815,4.729,4.66537,66.8493,51.8468
George_Foreman_,58.2188,47.1815,4.523,4.66537,62.7418,51.8468
George_Galloway_,66.4823,47.1815,4.513,4.66537,70.9953,51.8468
George_HW_Bush_,60.5625,47.1815,4.77,4.66537,65.3325,51.8468
George_Karl_,54.3017,47.1815,4.42,4.66537,58.7217,51.8468
George_Lopez_,68.808,47.1815,4.731,4.66537,73.539,51.8468
George_P_Bush_,63.6491,47.1815,4.437,4.66537,68.0861,51.8468
George_Papandreou_,56.7198,47.1815,5.358,4.66537,62.0778,51.8468
George_Pataki_,57.3023,47.1815,5.075,4.66537,62.3773,51.8468
George_Robertson_,62.0869,47.1815,4.521,4.66537,66.6079,51.8468
George_Roy_Hill_,57.9979,47.1815,4.909,4.66537,62.9069,51.8468
George_Ryan_,57.796,47.1815,4.56,4.66537,62.356,51.8468
George_Tenet_,53.7408,47.1815,4.591,4.66537,58.3318,51.8468
George_Voinovich_,55.4043,47.1815,4.77,4.66537,60.1743,51.8468
George_W_Bush_,50.172,47.1815,4.336,4.66537,54.508,51.8468
Georgi_Parvanov_,51.046,47.1815,4.481,4.66537,55.527,51.8468
Geraldine_Chaplin_,58.5609,47.1815,4.807,4.66537,63.3679,51.8468
Gerard_Depardieu_,51.6185,47.1815,4.721,4.66537,56.3395,51.8468
Gerardo_Gambala_,62.9042,47.1815,4.317,4.66537,67.2212,51.8468
Gerhard_Schroeder_,59.0858,47.1815,4.402,4.66537,63.4878,51.8468
Gerry_Adams_,54.3322,47.1815,4.668,4.66537,59.0002,51.8468
Gerry_Parsky_,53.512,47.1815,4.714,4.66537,58.226,51.8468
Gian_Marco_,56.4105,47.1815,4.403,4.66537,60.8135,51.8468
Gianna_Angelopoulos-Daskalaki_,59.3535,47.1815,4.394,4.66537,63.7476,51.8468
Gil_de_Ferran_,51.7277,47.1815,4.441,4.66537,56.1687,51.8468
Gilberto_Rodriguez_Orejuela_,56.8097,47.1815,4.65,4.66537,61.4597,51.8468
Gillian_Anderson_,52.0944,47.1815,4.595,4.66537,56.6894,51.8468
Gisele_Bundchen_,55.3777,47.1815,4.72,4.66537,60.0977,51.8468
Giuseppe_Gibilisco_,54.9981,47.1815,4.426,4.66537,59.4241,51.8468
Glafcos_Clerides_,59.6978,47.1815,4.519,4.66537,64.2168,51.8468
Gloria_Allred_,55.9707,47.1815,4.746,4.66537,60.7167,51.8468
Gloria_Macapagal_Arroyo_,56.5637,47.1815,4.325,4.66537,60.8887,51.8468
Gloria_Trevi_,64.3252,47.1815,4.713,4.66537,69.0382,51.8468
Goh_Kun_,62.1813,47.1815,4.611,4.66537,66.7923,51.8468
Goldie_Hawn_,54.3642,47.1815,4.466,4.66537,58.8302,51.8468
Gonzalo_Sanchez_de_Lozada_,55.2239,47.1815,4.782,4.66537,60.0059,51.8468
Goran_Persson_,53.1692,47.1815,4.769,4.66537,57.9382,51.8468
Gordon_Brown_,51.092,47.1815,4.541,4.66537,55.633,51.8468
Gordon_Campbell_,53.0938,47.1815,4.399,4.66537,57.4928,51.8468
Grady_Irvin_Jr_,58.0482,47.1815,4.611,4.66537,62.6592,51.8468
Grant_Hackett_,55.6352,47.1815,4.867,4.66537,60.5022,51.8468
Gray_Davis_,54.6348,47.1815,4.74,4.66537,59.3748,51.8468
Greg_Gilbert_,54.1743,47.1815,4.439,4.66537,58.6133,51.8468
Greg_Ostertag_,53.9888,47.1815,4.695,4.66537,58.6838,51.8468
Greg_Owen_,55.0963,47.1815,4.441,4.66537,59.5373,51.8468
Greg_Rusedski_,55.3164,47.1815,4.516,4.66537,59.8324,51.8468
Gregg_Popovich_,54.6341,47.1815,4.456,4.66537,59.0901,51.8468
Gregory_Geoffroy_,56.7133,47.1815,4.767,4.66537,61.4803,51.8468
Gregory_Hines_,57.6644,47.1815,4.518,4.66537,62.1824,51.8468
Gro_Harlem_Brundtland_,61.0954,47.1815,4.776,4.66537,65.8714,51.8468
Guido_Westerwelle_,71.9758,47.1815,4.459,4.66537,76.4348,51.8468
Guillaume_Soro_,63.8607,47.1815,4.459,4.66537,68.3197,51.8468
Guillermo_Canas_,58.6953,47.1815,4.673,4.66537,63.3683,51.8468
Guillermo_Coria_,56.4192,47.1815,4.532,4.66537,60.9512,51.8468
Guillermo_Ortiz_,47.3672,47.1815,4.494,4.66537,51.8612,51.8468
Gunter_Pleuger_,35.8497,47.1815,4.827,4.66537,40.6767,51.8468
Gus_Van_Sant_,34.9999,47.1815,4.386,4.66537,39.3859,51.8468
Gustavo_Kuerten_,37.983,47.1815,4.391,4.66537,42.374,51.8468
Guy_Hemmings_,36.7967,47.1815,4.615,4.66537,41.4117,51.8468
Guy_Ritchie_,37.4841,47.1815,4.395,4.66537,41.8791,51.8468
Gwendal_Peizerat_,34.0024,47.1815,4.632,4.66537,38.6344,51.8468
Gwyneth_Paltrow_,35.3478,47.1815,4.433,4.66537,39.7808,51.8468
Habib_Rizieq_,35.132,47.1815,4.649,4.66537,39.781,51.8468
Hal_Gehman_,35.8614,47.1815,4.414,4.66537,40.2754,51.8468
Hal_Sutton_,39.3232,47.1815,4.604,4.66537,43.9272,51.8468
Halle_Berry_,34.2252,47.1815,4.657,4.66537,38.8822,51.8468
Hamid_Karzai_,38.7378,47.1815,4.491,4.66537,43.2288,51.8468
Hamzah_Haz_,35.3822,47.1815,4.541,4.66537,39.9232,51.8468
Hanan_Ashrawi_,36.0713,47.1815,4.964,4.66537,41.0353,51.8468
Hannah_Stockbauer_,35.5209,47.1815,4.405,4.66537,39.9259,51.8468
Hans_Blix_,40.4734,47.1815,4.368,4.66537,44.8414,51.8468
Hans_Eichel_,36.0786,47.1815,4.923,4.66537,41.0016,51.8468
Harbhajan_Singh_,35.7439,47.1815,4.694,4.66537,40.4379,51.8468
Harrison_Ford_,33.6494,47.1815,4.381,4.66537,38.0304,51.8468
Harry_Belafonte_,41.4603,47.1815,4.73,4.66537,46.1903,51.8468
Harry_Kalas_,34.1338,47.1815,4.504,4.66537,38.6378,51.8468
Harry_Schmidt_,36.9582,47.1815,4.378,4.66537,41.3362,51.8468
Harvey_Weinstein_,44.3868,47.1815,4.746,4.66537,49.1328,51.8468
Hashim_Thaci_,36.5342,47.1815,4.388,4.66537,40.9222,51.8468
Hassan_Nasrallah_,35.5319,47.1815,4.494,4.66537,40.0259,51.8468
Hassan_Wirajuda_,36.9378,47.1815,4.947,4.66537,41.8848,51.8468
Hayley_Tullett_,32.986,47.1815,4.443,4.66537,37.429,51.8468
Heath_Ledger_,36.8632,47.1815,4.874,4.66537,41.7372,51.8468
Heather_Mills_,35.9462,47.1815,4.391,4.66537,40.3372,51.8468
Hector_Babenco_,34.0766,47.1815,4.324,4.66537,38.4006,51.8468
Hee-Won_Han_,38.0593,47.1815,4.634,4.66537,42.6933,51.8468
Heidi_Fleiss_,38.0252,47.1815,4.695,4.66537,42.7202,51.8468
Heidi_Klum_,39.9226,47.1815,4.293,4.66537,44.2156,51.8468
Heinz_Feldmann_,35.817,47.1815,4.301,4.66537,40.118,51.8468
Heizo_Takenaka_,38.2159,47.1815,4.686,4.66537,42.9019,51.8468
Helen_Clark_,36.5665,47.1815,4.313,4.66537,40.8795,51.8468
Henrique_Meirelles_,36.4208,47.1815,4.617,4.66537,41.0378,51.8468
Herb_Sendek_,35.8853,47.1815,4.654,4.66537,40.5393,51.8468
Hermann_Maier_,37.2513,47.1815,4.665,4.66537,41.9163,51.8468
Herta_Daeubler-Gmelin_,33.8123,47.1815,4.363,4.66537,38.1753,51.8468
Hichiro_Naemura_,37.1414,47.1815,4.491,4.66537,41.6324,51.8468
Hideki_Matsui_,38.8601,47.1815,5.162,4.66537,44.0221,51.8468
Hilary_Duff_,34.5695,47.1815,4.534,4.66537,39.1035,51.8468
Hillary_Clinton_,34.6799,47.1815,4.37,4.66537,39.0499,51.8468
Hilmi_Ozkok_,40.3142,47.1815,4.745,4.66537,45.0592,51.8468
Hipolito_Mejia_,36.3523,47.1815,4.314,4.66537,40.6663,51.8468
Hisao_Oguchi_,35.7322,47.1815,4.74,4.66537,40.4722,51.8468
Hitomi_Soga_,37.7573,47.1815,4.416,4.66537,42.1733,51.8468
Holly_Hunter_,34.7298,47.1815,4.373,4.66537,39.1028,51.8468
Hootie_Johnson_,39.4548,47.1815,4.428,4.66537,43.8828,51.8468
Horst_Koehler_,38.2826,47.1815,4.725,4.66537,43.0076,51.8468
Hosni_Mubarak_,37.4395,47.1815,4.333,4.66537,41.7725,51.8468
Howard_Dean_,34.8666,47.1815,4.498,4.66537,39.3646,51.8468
Howard_Schultz_,36.4687,47.1815,4.758,4.66537,41.2267,51.8468
Howard_Smith_,35.592,47.1815,4.505,4.66537,40.097,51.8468
Hu_Jintao_,36.172,47.1815,4.353,4.66537,40.525,51.8468
Hugh_Grant_,35.5567,47.1815,4.564,4.66537,40.1207,51.8468
Hugo_Chavez_,34.9751,47.1815,4.657,4.66537,39.6321,51.8468
Hun_Sen_,38.5848,47.1815,4.433,4.66537,43.0178,51.8468
Iain_Duncan_Smith_,35.499,47.1815,5.237,4.66537,40.736,51.8468
Ian_McKellen_,42.0446,47.1815,4.761,4.66537,46.8056,51.8468
Ian_Thorpe_,34.8174,47.1815,4.428,4.66537,39.2454,51.8468
Iban_Mayo_,34.5278,47.1815,4.862,4.66537,39.3898,51.8468
Ibrahim_Jaafari_,40.0089,47.1815,4.944,4.66537,44.9528,51.8468
Igor_Ivanov_,35.5434,47.1815,4.48,4.66537,40.0234,51.8468
Ilan_Ramon_,35.2872,47.1815,4.531,4.66537,39.8182,51.8468
Imad_Moustapha_,34.718,47.1815,4.802,4.66537,39.52,51.8468
Inam-ul-Haq_,37.7233,47.1815,4.391,4.66537,42.1143,51.8468
Inocencio_Arias_,39.0046,47.1815,4.44,4.66537,43.4446,51.8468
Intisar_Ajouri_,35.5928,47.1815,5.152,4.66537,40.7448,51.8468
Isabella_Rossellini_,32.8467,47.1815,5.153,4.66537,37.9997,51.8468
Isabelle_Huppert_,35.7477,47.1815,5.109,4.66537,40.8567,51.8468
Isaiah_Washington_,41.5584,47.1815,4.838,4.66537,46.3964,51.8468
Ishaq_Shahryar_,35.9941,47.1815,4.52,4.66537,40.5141,51.8468
Ismail_Merchant_,39.453,47.1815,4.57,4.66537,44.023,51.8468
Iva_Majoli_,35.783,47.1815,4.801,4.66537,40.584,51.8468
JJ_Redick_,35.5184,47.1815,4.528,4.66537,40.0464,51.8468
JK_Rowling_,36.3959,47.1815,4.402,4.66537,40.7979,51.8468
Jack_Grubman_,36.0309,47.1815,4.669,4.66537,40.6999,51.8468
Jack_Nicholson_,38.5696,47.1815,4.487,4.66537,43.0566,51.8468
Jack_Straw_,34.8796,47.1815,4.835,4.66537,39.7146,51.8468
Jackie_Chan_,35.5235,47.1815,4.834,4.66537,40.3575,51.8468
Jacqueline_Obradors_,36.3946,47.1815,5.115,4.66537,41.5096,51.8468
Jacques_Chirac_,34.6887,47.1815,4.812,4.66537,39.5007,51.8468
Jacques_Rogge_,35.3545,47.1815,4.628,4.66537,39.9825,51.8468
Jada_Pinkett_Smith_,37.6983,47.1815,4.483,4.66537,42.1813,51.8468
Jake_Gyllenhaal_,36.7061,47.1815,4.984,4.66537,41.6901,51.8468
James_Blake_,34.7012,47.1815,4.805,4.66537,39.5062,51.8468
James_Butts_,36.8897,47.1815,4.399,4.66537,41.2887,51.8468
James_Caan_,37.0024,47.1815,4.967,4.66537,41.9694,51.8468
James_Cameron_,36.9139,47.1815,5.242,4.66537,42.1559,51.8468
James_Cunningham_,39.2828,47.1815,4.661,4.66537,43.9438,51.8468
James_Franco_,35.6303,47.1815,4.771,4.66537,40.4013,51.8468
James_Gandolfini_,38.0227,47.1815,4.858,4.66537,42.8807,51.8468
James_Ivory_,37.8674,47.1815,4.909,4.66537,42.7764,51.8468
James_Jones_,37.5405,47.1815,4.587,4.66537,42.1275,51.8468
James_Kelly_,36.6542,47.1815,4.593,4.66537,41.2472,51.8468
James_Kopp_,36.2885,47.1815,4.802,4.66537,41.0905,51.8468
James_Maguire_,35.528,47.1815,5.53,4.66537,41.058,51.8468
James_McGreevey_,36.9307,47.1815,5.595,4.66537,42.5257,51.8468
James_Morris_,36.2193,47.1815,5.678,4.66537,41.8973,51.8468
James_Parker_,38.7649,47.1815,5.713,4.66537,44.4779,51.8468
James_Schultz_,37.7962,47.1815,5.718,4.66537,43.5142,51.8468
James_Smith_,38.0274,47.1815,4.955,4.66537,42.9824,51.8468
James_Traficant_,38.741,47.1815,5.03,4.66537,43.771,51.8468
James_Wolfensohn_,35.3308,47.1815,4.377,4.66537,39.7078,51.8468
Jamie_Villafane_,35.5715,47.1815,4.537,4.66537,40.1085,51.8468
Jamling_Norgay_,42.6048,47.1815,4.658,4.66537,47.2628,51.8468
Jan-Michael_Gambill_,36.5225,47.1815,4.37,4.66537,40.8925,51.8468
Jan_Ullrich_,38.9946,47.1815,4.512,4.66537,43.5066,51.8468
Jane_Fonda_,35.2105,47.1815,4.536,4.66537,39.7465,51.8468
Jane_Kaczmarek_,33.7826,47.1815,4.475,4.66537,38.2576,51.8468
Jane_Pauley_,35.7928,47.1815,4.73,4.66537,40.5228,51.8468
Janet_Napolitano_,37.5343,47.1815,4.25,4.66537,41.7843,51.8468
Janet_Thorpe_,34.0304,47.1815,4.709,4.66537,38.7394,51.8468
Janica_Kostelic_,40.1094,47.1815,4.792,4.66537,44.9014,51.8468
Jason_Alexander_,34.1448,47.1815,4.424,4.66537,38.5688,51.8468
Jason_Jennings_,34.4886,47.1815,4.706,4.66537,39.1946,51.8468
Jason_Kidd_,35.1042,47.1815,4.308,4.66537,39.4122,51.8468
Jason_Lezak_,34.2419,47.1815,4.715,4.66537,38.9569,51.8468
Javier_Solana_,38.4785,47.1815,4.453,4.66537,42.9315,51.8468
Javier_Weber_,36.3896,47.1815,4.787,4.66537,41.1766,51.8468
Jay_Garner_,35.8738,47.1815,4.416,4.66537,40.2898,51.8468
Jay_Leno_,36.0718,47.1815,4.635,4.66537,40.7068,51.8468
Jay_Rasulo_,35.1699,47.1815,4.566,4.66537,39.7359,51.8468
Jayson_Williams_,35.3842,47.1815,4.411,4.66537,39.7952,51.8468
Jean-Claude_Braquet_,37.7377,47.1815,4.349,4.66537,42.0867,51.8468
